text,label
"Extrauterine findings of ectopic pregnancy of transvaginal US: importance of echogenic fluid. Transvaginal ultrasound (US) studies of 232 consecutive patients with positive serum pregnancy tests who were considered to be at risk for ectopic pregnancy were prospectively evaluated to determine the significance of various extrauterine findings, including echogenic fluid in the cul-de-sac. All patients were found to have a surgically proved ectopic gestation (group 1, 68 patients [29.3%]), reliable evidence of intrauterine pregnancy at initial transvaginal US (group 2, 83 patients [35.8%]), or no evidence of pregnancy at initial transvaginal US, but subsequent proof of an intrauterine pregnancy (group 3, 81 patients [34.9%]). Adnexal findings were demonstrated in 45 (66%) group 1 patients, including a living extrauterine embryo in 10 (15%), an extrauterine gestational sac in 21 (31%), and an adnexal mass in 14 (21%). Intraperitoneal fluid was detected in 43 (63%) group 1 patients and in 81 (31%) group 3 patients. Echogenic fluid was the only abnormal finding at US in 10 (15%) group 1 patients and added confidence to the diagnosis of ectopic pregnancy in many others. Echogenic fluid correlated with hemoperitoneum at the time of surgery. The presence of echogenic fluid indicates a high risk for ectopic pregnancy in women referred with this clinical indication. ",1
"Microsaccadic flutter. Microsaccadic flutter is a rare symptomatic saccadic oscillation that has been reported only twice previously. Here we describe 5 patients with this disorder. The oscillation is horizontal, has a frequency of 15-30 Hz, an amplitude of 0.1-0.5 degrees, and cannot be seen with the unaided eye. It is usually not associated with any underlying neurological disorder. We hypothesize that microsaccadic flutter is due to malfunction of the brainstem omnipause neurons. ",2
"Allopurinol and thiazide effects on new urinary stone formed after discontinued therapy in patients with urinary stones. We treated 87 patients with calcium-containing urinary stones with either allopurinol alone (44 patients) or in combination with thiazide (43 patients) and studied new stone formation before, during, and after the discontinuation of the drug therapy. The number of stones formed were 1.18, 0.24, and 0.13 before, during, and after discontinuation of the drug therapy, respectively, in the patients treated with allopurinol alone and 1.32, 0.20, and 0.09 in those treated in combination with thiazide. No differences were observed in these values and the duration of each observation period between the two groups. Decreases in the incidence of stone formation even after interruption of drug therapy suggested that recurrence-preventive effects observed following administration of these drugs include the effects of medical guidance. However, allopurinol therapy was effective in preventing recurrence in patients with hyperuricosuria. ",4
"Surgical resection of cor triatriatum in a 74-year-old man. Review of echocardiographic findings with emphasis on Doppler and transesophageal echocardiography. A 74-year-old man was admitted to the hospital with congestive heart failure secondary to cor triatriatum. He also had sick sinus syndrome with complete heart block and syncope that had been treated with a permanent pacemaker 20 years earlier. The patient underwent successful surgical resection of the atrial membrane with closure of an atrial septal defect. M-mode, two-dimensional, Doppler, and transesophageal echocardiographic findings are reviewed. A unique ""spike and dome"" pattern on continuous-wave Doppler echocardiography is described that may suggest diagnosis of cor triatriatum. ",3
"HLA-DQ beta sequence polymorphism and genetic susceptibility to IDDM. The analysis of HLA-DQ beta nucleotide sequence polymorphism in insulin-dependent diabetes mellitus (IDDM) patients and control subjects suggests a role for the DQ beta-chain in genetic susceptibility. Sequence determination and oligonucleotide hybridization was carried out on enzymatically amplified DNA from various HLA-DR-typed individuals, including the rare class of DR2+ patients. In the analysis of DQ beta variation in DR4, DRw6, and DR2 haplotypes, a correlation was observed between the presence of the negatively charged residue Asp at position 57 and low susceptibility and the presence of an Ala (DR4), Val (DRw6), or Ser (DR2) and higher susceptibility. However, important exceptions to this pattern have been identified in the analysis of heterozygous DR1/4 IDDM patients. In these individuals, susceptibility appears to correlate with specific DR beta l alleles (Dw4) on the DR4 haplotype, rather than with the DQ beta allele (DQB3.2) that contains Ala at position 57. The DQ beta alleles found in some Chinese IDDM patients also proved discordant with the position-57 correlations. Thus, although there is a general correlation between the residue at position 57 of the DQ beta-chain and IDDM susceptibility, these data do not support the notion that Asp 57 confers complete resistance or protection to IDDM. In general, these results suggest that IDDM susceptibility is conferred by specific combinations of DQ beta and DR beta sequences. ",4
"Pyogenic spinal sepsis in adults. Twenty adult patients presented with bacteriologically and histologically proven nontuberculous spinal sepsis. Thirteen patients presented with varying degrees of neurologic impairment. All patients underwent spinal decompression; in 11 this was combined with an anterior fusion using autogenous tricortical iliac grafts. All patients have recovered and are ambulatory, and no patient's disorder was made worse by surgery. Twenty-three separate organisms were cultured, only five of which were Staphylococcus. The antibiotic courses were shorter and pain relief more rapid with anterior fusion. All anterior bone grafts incorporated rapidly, and there was no progression of kyphosis or sequestration of grafts, regardless of organisms or level. The rational treatment of adult spinal sepsis necessitates the securing of tissue from the spine for histologic and bacteriologic examination. Pain relief, stabilization, and neural decompression can best be achieved with anterior decompression and fusion. Autogenous iliac crest grafts incorporate in the presence of sepsis. ",2
"A discriminant validity study of negative symptoms with a special focus on depression and antipsychotic medication. If the construct validity of the negative symptom syndrome is to be established, the conceptual and operational overlap between negative symptoms and other syndromes such as depression and the effects of medication must be explained. The author assessed 26 patients with schizophrenia and 21 patients without schizophrenia, most of whom had depression, at the end of an average 2-week drug washout period and after approximately 2 months of psychotropic medication administration. Negative symptoms were remarkably consistent in patients with schizophrenia despite pharmacological intervention. In contrast, the patients without schizophrenia manifested significant decreases in negative symptoms. ",2
"Fragmented atrial activity in patients with transient atrial fibrillation. Prediction of atrial fibrillation (AF) is very important in patients with Wolff-Parkinson-White syndrome or in the selection of pacemaker therapeutic modality. In 25 patients with transient AF, the response of the atrial activity width to extrastimuli was examined in comparison with 25 patients without AF to see if the results could be used as an index of subsequent occurrence of AF. Programmed electrical stimulation using eight basic stimuli followed by single or double extrastimuli (P1P2 or P1P2P3) were delivered to the high right atrium, and the atrial activities were examined. The prolongation of the atrial activity caused by extrastimuli was termed fragmentation (Frg), and it was defined as the prolongation of more than 150% of the basic stimuli. Frg zone was defined as the zone of coupling intervals of the extrastimuli (P1P2 or P2P3) that caused Frg, and delta max Frg was defined as the difference between the widest Frg and the atrial wave width during basic stimuli. Fragmentation was reproducibly induced by extrastimuli, and there was an inverse relationship between Frg duration and the coupling interval of the extrastimuli (P1P2 or P2P3). Frg zone and delta max Frg were wider and longer in patients with transient AF in comparison with the control group for both single and double extrastimuli (p less than 0.001). AF inducibility using double extrastimuli was significantly high in patients with AF. ",3
"New technique for the arterial switch operation in difficult situations. The technique described here, a modification of the Aubert operation, avoids coronary reimplantation and also eliminates the need to use artificial material to transfer coronary circulation. ",3
"Blood loss reduced during hip arthroplasty by lumbar plexus block. We measured the blood loss during and after hip replacement in two groups of women, each consisting of 10 patients. In one group the lumbar plexus was infiltrated with bupivacaine, in the other it was not. The group in whom the plexus was blocked had significantly less blood loss. ",4
"Chromogranin A storage and secretion: sensitivity and specificity for the diagnosis of pheochromocytoma. Chromogranin A, co-stored and co-released with catecholamines from adrenal medullary and sympathetic neuronal vesicles, is elevated in the plasma of patients with pheochromocytoma. The usefulness of the hormone in the differential diagnosis of hypertension is examined. An elevated level of chromogranin A had comparable diagnostic sensitivity (83%, 24/29) to, but greater diagnostic specificity (96%, 86/90) than the level of plasma catecholamines when subjects with pheochromocytoma (n = 29) were evaluated in comparison to several reference groups, including normotensive controls (n = 49), subjects with essential hypertension (n = 28), subjects with renovascular hypertension (n = 5), and subjects with primary aldosteronism (n = 3). Subjects with signs or symptoms suggesting pheochromocytoma, but in whom the diagnosis was ultimately ruled out (n = 5) had normal plasma levels of chromogranin A. A modest rise in chromogranin A in those with essential hypertension, and correlation of chromogranin A with diastolic blood pressure in normotensive patients and patients with essential hypertension did not impair the diagnostic usefulness of chromogranin A for pheochromocytoma. Renal failure was associated with an elevated plasma chromogranin A independently of blood pressure. Plasma chromogranin A correlated with tumor mass, tumor chromogranin A content, tumor norepinephrine content, and urinary vanillylmandelic acid excretion; it did not correlate with plasma or urinary catecholamines, nor with blood pressure in patients with pheochromocytoma. Plasma chromogranin A levels did not differ in subjects with pheochromocytoma when stratified by age, sex, tumor location, or tumor pathology. Several drugs used in the diagnosis or treatment of pheochromocytoma (clonidine, metoprolol, phentolamine, and tyramine) had little effect on plasma chromogranin A concentration. Within the pheochromocytoma, chromogranin A was localized along with catecholamines to the soluble core of chromaffin granules, where it accounted for 18 +/- 5% of vesicle soluble protein. We conclude that 1) chromogranin A emerges along with catecholamines from pheochromocytoma chromaffin granules; 2) plasma chromogranin A is a sensitive and specific diagnostic tool in evaluation of actual or suspected pheochromocytoma; 3) plasma chromogranin A predicts pheochromocytoma tumor size and overall catecholamine production; and 4) drugs commonly employed in the diagnosis or treatment of pheochromocytoma have little effect on plasma chromogranin A level, preserving the usefulness of chromogranin A in evaluating pheochromocytoma. Thus, measurement of chromogranin A provides a useful adjunct to the diagnosis of pheochromocytoma. ",0
"Experimental short-bowel syndrome: effect of an elemental diet supplemented with short-chain triglycerides. To determine whether short-chain triglycerides (SCTs, 1:1 triacetin:tributyrin, wt:wt) enhance intestinal adaptation in short-bowel syndrome (SBS), male Sprague-Dawley rats underwent 60% distal small-bowel resection with cecectomy and received either a chemically defined diet (CD) or a CD containing 40% of nonprotein energy as either medium-chain triglycerides (MCTs) or SCTs. After 12 d the SCT group had significantly increased jejunal mucosal weight compared with the MCT and CD groups and had significantly increased segment weight and mucosal protein compared with the CD group. In the colon the SCT group had significantly increased segment and mucosal weights and mucosal protein and DNA compared with both the MCT and CD groups. Body-weight change and measurements of serum ketones, albumin, glucose, and triglycerides revealed no significant differences among groups. SCTs improved jejunal and colonic adaptive growth and maintained comparable nutritional status in SBS when compared with CD alone or CD with MCTs. ",4
"Ichthyosis, mental retardation, and asymptomatic spasticity. A new neurocutaneous syndrome with normal fatty alcohol:NAD+ oxidoreductase activity. A number of inherited disorders of cornification have been related to abnormal lipid metabolism. In the recessively inherited Sjogren-Larsson syndrome, defined by the triad of ichthyosis, mental retardation, and spasticity, fatty alcohol:NAD+ oxidoreductase deficiency has recently been reported. These patients accumulate fatty alcohol in the plasma and cultured fibroblasts. A 19-year-old woman with ichthyosis, mental retardation, and mild spasticity is described in whom fatty alcohol metabolism was normal, as determined by plasma octadecanol level and fibroblast fatty alcohol:NAD+ oxidoreductase activity. Ultrastructural studies on skin from the patient revealed morphologically abnormal epidermal lamellar bodies, not unlike those seen in neutral lipid storage disease with ichthyosis. We postulate that this patient has a novel neurocutaneous syndrome that may be secondary to abnormal lipid metabolism. ",4
"Metastatic carcinoma of the gallbladder from renal cancer presenting as intraluminal polypoid mass. We report a rare case of secondary involvement of the gallbladder by metastatic renal cell carcinoma. A 71-year-old man was diagnosed as having a polypoid mass within the gallbladder when he underwent right nephrectomy for a renal cell carcinoma. A preoperative diagnosis of simultaneous carcinoma of the gallbladder was made, and extended cholecystectomy with regional lymphadenectomy was performed five months after the initial operation. Postoperative histological examination of the polypoid mass within the gallbladder and a pancreatic mass excised during the second surgery revealed these resected tumors to be identical to the clear cell type of renal cell carcinoma. We feel that this case presents synchronous involvement of the gallbladder and pancreas by metastatic renal cell carcinoma of the right kidney. ",0
"Calcium channel blockers in geriatric hypertension. Though the calcium channel blockers have been used to treat angina pectoris for almost a decade, the long-acting forms of these agents that have become available in the last few years have made them practical for use as antihypertensive agents as well. They are becoming increasingly popular in this role, especially to treat elderly hypertensive patients. Because they are vasodilators with a mild diuretic action, they are logical treatment choices for the majority of hypertensive patients who have increased peripheral vascular resistance. They offer the advantage of a dual benefit for hypertensive patients with angina, and they have no effect on carbohydrate or lipid metabolism. Disadvantages include cost and a side effect profile that includes headaches, palpitations, ankle edema, and constipation. ",3
"Neurobehavioral outcome 1 year after severe head injury. Experience of the Traumatic Coma Data Bank. The outcome 1 year after they had sustained a severe head injury was investigated in patients who were admitted to the neurosurgery service at one of four centers participating in the Traumatic Coma Data Bank (TCDB). Of 300 eligible survivors, the quality of recovery 1 year after injury was assessed by at least the Glasgow Outcome Scale (GOS) in 263 patients (87%), whereas complete neuropsychological assessment was performed in 127 (42%) of the eligible survivors. The capacity of the patients to undergo neuropsychological testing 1 year after injury was a criterion of recovery as reflected by a significant relationship to neurological indices of acute injury and the GOS score at the time of hospital discharge. The neurobehavioral data at 1 year after injury were generally comparable across the four samples of patients and characterized by impairment of memory and slowed information processing. In contrast, language and visuospatial ability recovered to within the normal range. The lowest postresuscitation Glasgow Coma Scale (GCS) score and pupillary reactivity were predictive of the 1-year GOS score and neuropsychological performance. The lowest GCS score was especially predictive of neuropsychological performance 1 year postinjury in patients who had at least one nonreactive pupil following resuscitation. Notwithstanding limitations related to the scope of the TCDB and attrition in follow-up material, the results indicate a characteristic pattern of neurobehavioral recovery from severe head injury and encourage the use of neurobehavioral outcome measurements in clinical trials to evaluate interventions for head-injured patients. ",2
"Laryngeal dystonia: a series with botulinum toxin therapy. Laryngeal dystonia is a syndrome characterized by action-induced, involuntary spasms of the laryngeal muscles. Most patients have involvement of the adductor laryngeal muscles producing uncontrolled spasms during phonation, and a ""strain-strangle"" speech pattern commonly termed ""spastic dysphonia."" Other patients have involvement of the abductor muscles producing ""whispering dysphonia."" Rare patients have paradoxical vocal cord motion during respiration with adductor spasms on inspiration. Over the past 5 years we have used botulinum toxin (BOTOX) to treat more than 200 patients with laryngeal dystonia. This group includes patients with adductor involvement (phonatory dystonia, recurrent laryngeal nerve section failure, respiratory dystonia) and those with abductor involvement (whispering dystonia). Patients received benefit within 24 to 72 hours, with sustained improvement for 2 to 9 months with an average of 4 months. Patients improved to an average of 90% of normal function. Clinically significant adverse effects included extended breathy dysphonia and mild choking on fluids. BOTOX has become our treatment of choice for dystonic conditions of the larynx. ",4
"Wellness motivation in cardiac rehabilitation. Lack of patient adherence to prescribed regimens is a fundamental problem in cardiac rehabilitation programs. A causative factor in lack of patient adherence may be related to failure to address differences in individual health behavior motivation in cardiac rehabilitation. A group of 52 patients who had had myocardial infarction were sampled to test the relationship between social support systems, health locus of control, health value orientations, and wellness motivation. Pearson correlation coefficients indicated significant positive correlations between health locus of control variables, health value orientation variations, and wellness motivation. Health locus of control and health value orientation variables entered into a multiple regression equation to explain 32% of the variation in wellness motivation. Awareness of individual motivational responses that influence health behaviors in cardiac rehabilitation may enable nurses to develop intervention strategies for patients with cardiovascular disease who would benefit from modifying their risk-producing life-styles. ",3
"Sinus arrest induced by trivial nasal stimulation during alfentanil-nitrous oxide anaesthesia. A case is reported of bradycardia and sinus arrest induced by insertion of a nasal temperature probe. Other possible causes of bradycardia and sinus arrest under anaesthesia are reviewed briefly. Evidence for the neurological basis of a nasocardiac reflex, similar to the oculocardiac reflex, is presented. A minor, trivial stimulus may elicit this reflex. ",3
"Ultrasound demonstration of a superior mesenteric artery aneurysm in a patient with Ehlers-Danlos syndrome. A large aneurysm of the superior mesenteric artery was the presumed cause of abdominal pain in an 11-year-old girl with Ehlers-Danlos syndrome. This aneurysm was readily identified by ultrasonography, suggesting that this method could be the diagnostic technique of choice in this disorder. ",3
"Prognostic factors and value of adjunctive nephrectomy in patients with stage IV renal cell carcinoma. We reviewed 57 cases of Stage IV renal cell carcinoma to clarify the factors influencing prognosis and to evaluate the value of nephrectomy. Cumulative survival from the initial diagnosis was analyzed with respect to the patients' age, sex, side of primary tumor, initial performance status (PS), site of metastasis, and nephrectomy. Overall survival for the patients was 51 percent at one year, 22 percent at three years, and 11 percent at five years. Age, sex, and side of primary tumor had no influence on survival. Improved survival was correlated with good PS, metastases limited to single organ, and removal of the primary tumor. With regard to histopathologic features in nephrectomized patients, low grade and stage were correlated with longer survival. These factors should be considered in the analysis of results of future clinical trials of metastatic renal cell carcinoma. ",0
"Flow cytometric DNA analysis of hepatocellular carcinoma. The prognostic value of nuclear DNA content was studied retrospectively using flow cytometry in 203 cases of resected hepatocellular carcinoma. The occurrence of DNA aneuploidy, which was detected in 50% of patients, correlated significantly with tumor size and the presence of vascular invasion or intrahepatic metastasis. Overall, patients with DNA aneuploid tumors had a significantly worse prognosis than those with DNA diploid tumors (P less than 0.001) and, also in subdivided groups by tumor size (P less than 0.01). Among DNA aneuploid patients, the survival times were significantly shorter for patients with a low DNA index (less than 1.5) than for those with a high DNA index (greater than or equal to 1.5) (P less than 0.05). In a Cox multivariate analysis, nuclear DNA content provided significant prognostic value (P = 0.008), as did vascular invasion (P = 0.001) and intrahepatic metastasis (P = 0.005). These results indicated that nuclear DNA content has an important prognostic value in hepatocellular carcinoma. ",0
"Transsynaptic degeneration in the superficial dorsal horn after sciatic nerve injury: effects of a chronic constriction injury, transection, and strychnine. The lumbar and cervical spinal dorsal horns of adult rats with a chronic (8 days) constriction injury of the sciatic nerve on one side (and a sham operation on the other) were examined for signs of transsynaptic degeneration. The incidence of neurons with signs of degeneration (pyknosis and hyperchromatosis; 'dark neurons') was significantly increased in the lumbar dorsal horn on both sides. The ipsilateral lumbar increase was significantly greater than the contralateral increase. There was no increase in the incidence of dark neurons in the cervical dorsal horns of the same rats. The distribution of lumbar dark neurons was similar bilaterally. The majority of the dark neurons were found in the sciatic nerve's territory in laminae I-II. A second group of rats received the same surgery but in addition received a series of 7 daily subconvulsive doses of strychnine. Dark neurons were again found bilaterally (with ipsilateral predominance) in the sciatic nerve's territory in lumbar laminae I-II, but the incidence was significantly greater than that found in the group that did not receive strychnine. The same result was obtained in a third group of strychnine-treated rats when the sham operation was omitted. Thus the appearance of contralateral dark neurons is not dependent on unintentional nerve damage created by the sham procedure. An additional group of rats was sacrificed 8 days after receiving a unilateral sciatic nerve transection, a contralateral sham operation, and the 7 daily strychnine injections. There was no increase in the incidence of dark neurons in any of these rats. ",4
